LEMME	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
enfournement	4.97297397297297	1E-06	4972973.97297297	0	0	0	1	0	0	0	0	0
roulement	317.621622621622	334.158416841584	0.950512112260209	1	0	3	6	31	1	6	0	0
stockage	1431.56756856757	1072.77227822772	1.33445615404286	1	1	0	3	7	2	6	0	0
frittage	22.0540550540541	2.47524852475248	8.90983464226464	1	3	0	1	2	0	2	0	0
traitement	6733.18919018919	8388.11881288119	0.802705510066141	1	0	56	10	14	8	7	1	0
enfilage	3.35135235135135	4.95049604950495	0.676973038224419	1	2	1	2	4	0	0	0	0
filage	49.1891901891892	20.7920802079208	2.36576570007894	1	1	1	2	9	2	4	0	0
graissage	29.6216226216216	3.46534753465347	8.54795148983052	0	0	0	1	3	0	2	0	0
rivetage	15.4594604594595	1.98019901980198	7.80702358948011	1	1	0	1	0	1	0	0	0
encrassement	15.8918928918919	4.45544654455446	3.56684627073246	0	0	1	1	2	0	0	0	0
balayage	183.243244243243	64.8514861485149	2.82558280659293	1	0	9	6	10	3	6	0	0
concassage	16.5405415405405	12.3762386237624	1.33647564848844	1	4	2	1	1	0	0	0	0
filtration	163.783784783784	93.5643574356436	1.7504933424722	1	2	3	4	6	2	2	0	0
conditionnement	282.054055054054	254.950496049505	1.10630910480475	1	1	3	3	6	2	5	0	0
grenaillage	6.05405505405405	1E-06	6054055.05405405	1	3	0	1	0	1	0	0	0
lissage	45.7297307297297	28.7128722871287	1.59265608373946	1	0	0	5	6	0	4	0	0
