LEMME	SUFF	FREQR_W18	FREQR_LM	RATIO_FREQR	PAGE_W18	NB_CAT_W18	NB_SYN	NB_DEF_G	NB_DEF_T	NB_DOM_G	NB_DOM_T	LST	NSS
tri	['conv']	871.891892891892	904.950496049505	0.963469158476704	1	2	3	2	7	0	4	0	0
transmission	['ion']	2656.43243343243	3039.10891189109	0.87408267042969	1	0	42	3	29	3	27	0	0
nettoyage	['age']	644.648649648649	1359.90099109901	0.474040870525194	0	0	13	3	7	1	1	0	0
embrouillement	['ment']	0.756757756756757	1.48514951485149	0.509549879785964	0	0	32	1	3	0	0	0	0
embrigadement	['ment']	18.1621631621622	66.3366346633663	0.273787828615792	0	0	3	1	1	0	0	0	0
rabaissement	['ment']	4.64864964864865	3.46534753465347	1.34146708292954	0	0	11	1	4	0	1	0	0
esquimautage	['age']	2.27027127027027	1E-06	2270271.27027027	1	2	0	1	0	0	0	0	0
glissade	['autre']	55.4594604594595	197.029703970297	0.281477662209857	1	1	5	6	5	2	2	0	0
renvoi	['conv']	526.378379378378	1069.80198119802	0.492033468463867	1	0	71	11	20	2	12	0	0
actuation	['ion']	4.000001	0.99010000990099	4.0399969296031	0	0	1	0	1	0	1	0	0
convoitise	['autre']	147.243244243243	472.277228722772	0.311772906437705	0	0	24	1	7	0	0	0	0
saisissement	['ment']	3.56756856756757	12.8712881287129	0.277172613330685	0	0	10	1	3	0	1	0	0
empierrement	['ment']	13.9459469459459	1.48514951485149	9.39026462082543	0	0	1	1	2	0	0	0	0
garnissage	['age']	19.027028027027	3.96039703960396	4.80432336373268	1	0	0	3	9	2	8	0	0
palabre	['conv']	46.0540550540541	166.831684168317	0.276051010835508	1	0	10	7	4	0	0	0	0
emmaillotement	['ment']	1.2972982972973	0.99010000990099	1.31026995689761	1	2	0	1	0	0	0	0	0
insolubilisation	['isation']	0.540541540540541	1E-06	540541.540540541	0	0	0	1	0	0	0	0	0
challenge	['conv']	1774.7027037027	444.059406940594	3.9965434263171	1	0	2	8	2	0	2	0	0
emboutissage	['age']	24.5405415405405	18.8118821881188	1.30452345465143	1	1	0	1	0	1	0	0	0
vivisection	['ion']	29.2972982972973	23.2673277326733	1.25916042589439	1	6	2	1	5	0	0	0	0
portage	['age']	415.459460459459	191.089109910891	2.17416607703703	1	1	1	11	11	2	5	0	0
claque	['conv']	98.1621631621622	230.693070306931	0.42550980413742	1	2	20	12	0	0	0	0	0
gloutonnerie	['autre']	7.89189289189189	11.3861396138614	0.693114010501362	0	0	9	1	1	0	0	0	0
caracole	['autre']	12.000001	28.7128722871287	0.417931054754815	1	0	2	8	5	3	5	0	0
ensevelissement	['ment']	30.2702712702703	24.2574267425743	1.24787643765787	0	0	4	1	6	0	0	0	0
essayage	['age']	16.000001	46.5346544653465	0.343829801334721	0	0	1	1	2	0	1	0	0
lapidation	['ion']	59.027028027027	32.1782188217822	1.83437835244847	1	1	0	1	2	0	0	0	0
atermoiement	['ment']	24.1081091081081	446.039604960396	0.0540492567027735	0	0	16	2	2	2	1	0	0
densification	['ification']	37.8378388378378	36.6336643663366	1.0328707076491	0	0	0	1	0	0	0	0	0
tripotage	['age']	2.05405505405405	4.45544654455446	0.461021141991831	0	0	49	2	8	0	0	0	0
pliure	['autre']	9.62162262162162	11.8811891188119	0.80981983582665	1	2	1	1	3	0	0	0	0
conserverie	['autre']	89.6216226216216	58.4158425841584	1.53420063217449	0	0	0	1	2	0	0	0	0
affolement	['ment']	13.8378388378378	174.257426742574	0.0794103246932488	0	0	23	1	9	0	3	0	0
rayonnement	['ment']	1457.94594694595	1162.87128812871	1.25374661996519	1	2	9	3	18	0	10	0	0
cinglage	['age']	4.54054154054054	1E-06	4540541.54054054	0	0	0	2	2	2	2	0	0
ronflement	['ment']	20.3243253243243	42.0792089207921	0.483001602111434	1	3	4	3	3	0	1	0	0
ratification	['ification']	297.081082081081	2051.48514951485	0.144812689553876	0	0	5	2	6	0	4	0	0
ripage	['age']	6.37837937837838	1E-06	6378379.37837838	0	0	1	2	8	1	2	0	0
gage	['conv']	682.054055054054	1268.31683268317	0.537763149930877	1	1	47	11	21	1	7	0	0
schlittage	['age']	1.72973072972973	1E-06	1729730.72972973	0	0	0	1	0	0	0	0	0
percussion	['ion']	2082.91891991892	742.079208920792	2.80686872085813	1	0	11	3	10	3	7	0	0
vocalisation	['isation']	74.3783793783784	6.93069406930693	10.731736047587	1	2	0	2	0	2	0	0	0
expurgation	['ion']	1.51351451351351	0.495050504950495	3.05729314156515	0	0	0	1	2	0	0	0	0
