NOM_AGENT_INSTRUMENT	VERBE	NOMINALISATION	pVbAg	pVbAc	pAgAc	LABEL
nourrisseur	nourrir	nourrissement	0.1595128932675338	0.19315404317806717	0.2397542477045221	pAgAc
novateur	nover	novation	0.09886313102236037	0.21265783337081617	0.292321200013516	pAgAc
objecteur	objecter	objection	0.0075033467057053225	0.37343462346623224	0.3689009335220474	pVbAc
oblitérateur	oblitérer	oblitération	0.0977830591602585	0.6259521837985631	0.14292392050682456	pVbAc
observateur	observer	observance	0.15899499319394897	0.008621258208515307	0.15003502021192675	pAgVb
observateur	observer	observation	0.15899499319394897	0.40561231394763136	0.36588574850794425	pVbAc
obtenteur	obtenir	obtention	0.18682730506784961	0.6045331094210397	0.3367972686701597	pVbAc
obturateur	obturer	obturation	0.5260351008070768	0.46514286320186293	0.6587905974060642	pAgAc
obturatrice	obturer	obturation	0.4245083734058715	0.46514286320186293	0.3579316586971066	pVbAc
offenseur	offenser	offense	0.34061915364513146	0.4550594837212311	0.5344562591872994	pAgAc
offreur	offrir	offrande	0.19964879145994702	0.17890677346708866	0.0067660277349667775	pAgVb
offreur	offrir	offre	0.19964879145994702	0.159684438699543	0.4920267920933483	pAgAc
ondulateur	onduler	ondulation	0.11748630256075879	0.7348291165040747	0.1466890242201934	pVbAc
onduleur	onduler	ondulation	0.10350752110950007	0.7348291165040747	0.24692905594892448	pVbAc
opérateur	opérer	opération	0.19348726596983726	0.26731465550963435	0.36203289806936756	pAgAc
oppresseur	oppresser	oppression	0.6692291281199865	0.5354096163238578	0.6532980473780563	pAgVb
oppresseur	opprimer	oppression	0.7092441071983125	0.6266632523783694	0.6532980473780563	pAgVb
optimiseur	optimiser	optimisation	0.26267260486209837	0.7148221905135703	0.3565180832997881	pVbAc
orchestrateur	orchestrer	orchestration	0.2084364776245014	0.30636819696324963	0.5216681753551974	pAgAc
orchestratrice	orchestrer	orchestration	0.2513466012084189	0.30636819696324963	0.25739386841508105	pVbAc
ordinateur	ordonner	ordination	0.057359939989090454	0.2546862827139931	0.04528279229355457	pVbAc
ordinatrice	ordonner	ordination	0.09055722293510911	0.2546862827139931	0.013470470697102575	pVbAc
ordonnateur	ordonner	ordonnancement	0.37295903720612283	0.061285396586529726	0.25712463398677193	pAgVb
ordonnateur	ordonner	ordination	0.37295903720612283	0.2546862827139931	0.18273940677752765	pAgVb
organisateur	organiser	organisation	0.5542860874796813	0.3926344560895785	0.4435311081271158	pAgVb
organisatrice	organiser	organisation	0.40708721591452757	0.3926344560895785	0.2169184422300537	pAgVb
organiseur	organiser	organisation	0.0013386583591824218	0.3926344560895785	0.056324796787112934	pVbAc
orienteur	orienter	orientation	0.06717849994898557	0.43148305020219047	0.12621935842279455	pVbAc
orienteuse	orienter	orientation	0.15154915450690618	0.43148305020219047	0.0039540969688429736	pVbAc
oscillateur	osciller	oscillation	0.2142241660383989	0.37378700320674607	0.6387140990352438	pAgAc
oublieur	oublier	oubli	0.00501256458905798	0.42144281791830457	0.08197860130115901	pVbAc
oublieuse	oublier	oubli	0.23126972126333253	0.42144281791830457	0.13361336033670226	pVbAc
ourdisseur	ourdir	ourdissage	0.024882659941633085	0.005780657564961779	0.2754114616741319	pAgAc
outilleur	outiller	outillage	0.20240286957979825	0.13594416518775201	0.5570483844336933	pAgAc
ouvreur	ouvrer	ouvrage	0.031661650014132986	0.009907363070816647	0.016300519467015658	pAgVb
ouvreur	ouvrir	ouvrage	0.06354252495980363	0.15749761695284242	0.016300519467015658	pVbAc
